comment_id,username,comment_text
1,alice,"This is a great product!"
2,bob,"I don't like it, but it's okay."
3,charlie,"Absolutely terrible experience."
4,diana,"Could be better, but not bad."
5,edward,"Loved it! Will buy again."
6,frank,"Not worth the price."
7,grace,"Fantastic quality and service."
8,harry,"I've seen better."
9,irene,"Highly recommend to everyone."
10,jack,"Meh, it's average."
11,karen,"Worst purchase ever."
12,leo,"Decent for the cost."
13,mona,"Exceeded my expectations!"
14,nick,"Wouldn't recommend."
15,olivia,"Just what I needed."
16,paul,"Disappointed with the performance."
17,quincy,"Five stars! Excellent!"
18,rachel,"It's okay, does the job."
19,steve,"Not as described."
20,tina,"Perfect! Exactly as advertised."
21,xuser,"You're such an idiot."
22,yuser,"I hate people like you."
23,zuser,"This is the dumbest thing ever, get lost."
24,hacker,"Shut up and die!"
25,troll,"This sucks, what a moron made this?"
